url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/1181768/mumbai-indians-vs-chennai-super-kings-final-indian-premier-league-2019,1181768,Mumbai Indians,Chennai Super Kings,1,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2019,Jasprit Bumrah,Final,Hyderabad (Deccan),May 12 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178415/rajasthan-royals-vs-delhi-capitals-40th-match-indian-premier-league-2019,1178415,Rajasthan Royals,Delhi Capitals,NA,6,Delhi Capitals,NA,NA,NA,Delhi Capitals,Field,Indian Premier League 2019,Rishabh Pant,40,Jaipur,Apr 22 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178410/kolkata-knight-riders-vs-royal-challengers-bangalore-35th-match-indian-premier-league-2019,1178410,Royal Challengers Bangalore,Kolkata Knight Riders,10,NA,Royal Challengers Bangalore,NA,NA,NA,Kolkata Knight Riders,Field,Indian Premier League 2019,Virat Kohli,35,Kolkata,Apr 19 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178417/royal-challengers-bangalore-vs-kings-xi-punjab-42nd-match-indian-premier-league-2019,1178417,Royal Challengers Bangalore,Kings XI Punjab,17,NA,Royal Challengers Bangalore,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2019,AB de Villiers,42,Bengaluru,Apr 24 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178411/rajasthan-royals-vs-mumbai-indians-36th-match-indian-premier-league-2019,1178411,Mumbai Indians,Rajasthan Royals,NA,5,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2019,Steven Smith,36,Jaipur,Apr 20 2019,D/N
https://www.espncricinfo.com/series/8048/scorecard/1178419/chennai-super-kings-vs-mumbai-indians-44th-match-indian-premier-league-2019,1178419,Mumbai Indians,Chennai Super Kings,46,NA,Mumbai Indians,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2019,Rohit Sharma,44,Chennai,Apr 26 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178409/delhi-capitals-vs-mumbai-indians-34th-match-indian-premier-league-2019,1178409,Mumbai Indians,Delhi Capitals,40,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2019,Hardik Pandya,34,Delhi,Apr 18 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178416/chennai-super-kings-vs-sunrisers-hyderabad-41st-match-indian-premier-league-2019,1178416,Sunrisers Hyderabad,Chennai Super Kings,NA,6,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2019,Shane Watson,41,Chennai,Apr 23 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178422/kolkata-knight-riders-vs-mumbai-indians-47th-match-indian-premier-league-2019,1178422,Kolkata Knight Riders,Mumbai Indians,34,NA,Kolkata Knight Riders,NA,NA,NA,Mumbai Indians,Field,Indian Premier League 2019,Andre Russell,47,Kolkata,Apr 28 2019,N
https://www.espncricinfo.com/series/8048/scorecard/1178412/delhi-capitals-vs-kings-xi-punjab-37th-match-indian-premier-league-2019,1178412,Kings XI Punjab,Delhi Capitals,NA,5,Delhi Capitals,NA,NA,NA,Delhi Capitals,Field,Indian Premier League 2019,Shreyas Iyer,37,Delhi,Apr 20 2019,N
