,ball,over,runs,isWide,isNoball,isRetiredHurt,isBoundary,currentInning.id,bowler,batsman,run_out,match_id,matchWicket.batsmanName,matchWicket.bowlerName
0,6,3,4,False,False,False,True,215637,Harbhajan Singh,Rohit Sharma,No,1181768,,
1,5,3,0,False,False,False,False,215637,Harbhajan Singh,Rohit Sharma,No,1181768,,
2,4,3,0,False,False,False,False,215637,Harbhajan Singh,Rohit Sharma,No,1181768,,
3,3,3,1,False,False,False,False,215637,Harbhajan Singh,Quinton de Kock,No,1181768,,
4,2,3,1,False,False,False,False,215637,Harbhajan Singh,Rohit Sharma,No,1181768,,
5,1,3,1,False,False,False,False,215637,Harbhajan Singh,Quinton de Kock,No,1181768,,
6,6,2,1,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
7,5,2,6,False,False,False,True,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
8,4,2,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
9,3,2,6,False,False,False,True,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
10,2,2,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
11,2,2,1,True,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
12,1,2,6,False,False,False,True,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
13,6,1,0,False,False,False,False,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
14,5,1,6,False,False,False,True,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
15,4,1,0,False,False,False,False,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
16,3,1,0,False,False,False,False,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
17,2,1,0,False,False,False,False,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
18,1,1,2,False,False,False,False,215637,Shardul Thakur,Rohit Sharma,No,1181768,,
19,6,0,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
20,5,0,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
21,4,0,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
22,3,0,0,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
23,2,0,1,False,False,False,False,215637,Deepak Chahar,Rohit Sharma,No,1181768,,
24,1,0,1,False,False,False,False,215637,Deepak Chahar,Quinton de Kock,No,1181768,,
0,1,8,1,False,False,False,False,215637,Harbhajan Singh,Suryakumar Yadav,No,1181768,,
1,6,7,0,False,False,False,False,215637,Dwayne Bravo,Ishan Kishan,No,1181768,,
2,5,7,0,False,False,False,False,215637,Dwayne Bravo,Ishan Kishan,No,1181768,,
3,4,7,1,False,False,False,False,215637,Dwayne Bravo,Suryakumar Yadav,No,1181768,,
4,3,7,1,False,False,False,False,215637,Dwayne Bravo,Ishan Kishan,No,1181768,,
5,2,7,1,False,False,False,False,215637,Dwayne Bravo,Suryakumar Yadav,No,1181768,,
6,1,7,0,False,False,False,False,215637,Dwayne Bravo,Suryakumar Yadav,No,1181768,,
7,6,6,1,False,False,False,False,215637,Harbhajan Singh,Suryakumar Yadav,No,1181768,,
